objectid,filename,title,creator,date,description,subject,location,county,state,country,continent,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,dimensions,railroad,format_of_original,genrestyle,notes,batch
Zimmermann-01-007-02,access-007-02.jpg,Zimmermann-TEMP-A1-0007-02,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 in Brownville, Alabama, in March 1967.",Smoke & steam;Steam locomotives,Brownville,Tuscaloosa county,Alabama,United States,North and Central America,33.3833,-87.75,Binder 1,Zimmermann-01-007-02,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"In Brownville, named for Brown Wood Processing, stands the creosoting plant that was the Mobile & Gulf's reason for being. The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948.",Batch 1
Zimmermann-01-007-03,access-007-03.jpg,Zimmermann-TEMP-A1-0007-03,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 with a load of poles from the Gulf, Mobile & Ohio interchange at Buhl rolls through the pole yard in Brownville, Alabama, in March 1967.",Smoke & steam;Steam locomotives;Logs,Brownville,Tuscaloosa county,Alabama,United States,North and Central America,33.3833,-87.75,Binder 1,Zimmermann-01-007-03,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"In Brownville, named for Brown Wood Processing, stands the creosoting plant that was the Mobile & Gulf's reason for being. The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948.",Batch 1
Zimmermann-01-007-04,access-007-04.jpg,Zimmermann-TEMP-A1-0007-04,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 pushes a rail crane in Brownville, Alabama, in March 1967.",Steam locomotives;Smoke & steam;Railroad employees;Cranes,Brownville,Tuscaloosa county,Alabama,United States,North and Central America,33.3833,-87.75,Binder 1,Zimmermann-01-007-04,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"In Brownville, named for Brown Wood Processing, stands the creosoting plant that was the Mobile & Gulf's reason for being. The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948. Though No. 97 is pushing it here, the rail crane can move by itself.",Batch 1
Zimmermann-01-007-08,access-007-08.jpg,Zimmermann-TEMP-A1-0007-08,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 hauls freight across a small bridge near the Gulf, Mobile & Ohio interchange at Buhl, Alabama, in March 1967. The conductor, part of a three-man crew, sits out in the open.",Bodies of water;Railroad conductors;Railroad employees;Signs;Smoke & steam;Steam locomotives,,Tuscaloosa county,Alabama,United States,North and Central America,,,Binder 1,Zimmermann-01-007-08,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948.",Batch 1
Zimmermann-01-007-09,access-007-09.jpg,Zimmermann-TEMP-A1-0007-09,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 surrounded by poles in Brownville, Alabama, in March 1967. A crane is visible in the distance.",Steam locomotives;Railroad employees;Smoke & steam;Cranes;Logs,Brownville,Tuscaloosa county,Alabama,United States,North and Central America,33.3833,-87.75,Binder 1,Zimmermann-01-007-09,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948. In Brownville, named for Brown Wood Processing, stands the creosoting plant that was the railroad's reason for being.",Batch 1
Zimmermann-01-007-10,access-007-10.jpg,Zimmermann-TEMP-A1-0007-10,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 leads a load of poles picked up from the Gulf, Mobile & Ohio interchange at Buhl to Brownville, Alabama, in March 1967.",Forests;Smoke & steam;Steam locomotives;Logs,,Tuscaloosa county,Alabama,United States,North and Central America,,,Binder 1,Zimmermann-01-007-10,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948.",Batch 1
Zimmermann-01-007-12,access-007-12.jpg,Zimmermann-TEMP-A1-0007-12,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 near Brownville, Alabama, in March 1967. A small structure stands to the right of the locomotive, with fabrics drying on clotheslines off to the side.",Smoke & steam;Steam locomotives,,Tuscaloosa county,Alabama,United States,North and Central America,,,Binder 1,Zimmermann-01-007-12,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948. On the outskirts of Brownville, named for Brown Wood Processing, stands the creosoting plant that was the railroad's reason for being.",Batch 1
Zimmermann-01-013-06,access-013-06.jpg,Zimmermann-TEMP-A1-0013-06,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 in Brownville, Alabama, in March 1967.",Smoke & steam;Steam locomotives;Logs,Brownville,Tuscaloosa county,Alabama,United States,North and Central America,33.3833,-87.75,Binder 1,Zimmermann-01-013-06,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948. In Brownville, named for Brown Wood Processing, stands the creosoting plant that was the railroad's reason for being.",Batch 1
Zimmermann-01-013-09,access-013-09.jpg,Zimmermann-TEMP-A1-0013-09,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 in Brownville, Alabama, in March 1967.",Automobiles;Smoke & steam;Steam locomotives;Water standpipes,Brownville,Tuscaloosa county,Alabama,United States,North and Central America,33.3833,-87.75,Binder 1,Zimmermann-01-013-09,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948. In Brownville, named for Brown Wood Processing, stands the creosoting plant that was the railroad's reason for being.",Batch 1
Zimmermann-01-013-10,access-013-10.jpg,Zimmermann-TEMP-A1-0013-10,"Zimmermann, Karl",1967-03,"Mobile & Gulf Railroad 2-6-0 steam locomotive 97 in Brownville, Alabama, in March 1967. Some poles lay on the ground near the locomotive.",Railroad employees;Smoke & steam;Steam locomotives;Logs,Brownville,Tuscaloosa county,Alabama,United States,North and Central America,33.3833,-87.75,Binder 1,Zimmermann-01-013-10,Still Image,image/jpeg,,© Center for Railroad Photography and Art,,,Mobile & Gulf Railroad MG,Black-and-white film;Photographs,,"The Baldwin 2-6-0, originally meant to go to Cuba, was built in 1925 and came to the M&G in 1948. In Brownville, named for Brown Wood Processing, the creosoting plant that was the railroad's reason for being.",Batch 1
